Sub	group	acc	RT	RTopt	RTsubopt	propOpt	Switches	totalPoints	Nblocks
80	2	0.992063	3239.78	3280.82	3212.7	0.408	0.277551	137.34	3
81	1	0.968254	4753.67	3995.62	5564.92	0.516393	0.0772532	134.01	3
82	2	0.992063	4147.3	4402.49	3986.12	0.388	0.457143	136.76	3
83	1	0.988095	4150.14	4435.87	3882.27	0.481928	0.510288	134.64	3
84	2	0.972222	3708.85	3955.26	3485.72	0.477551	0.411017	131.93	3
85	1	0.964286	3852.5	3698.57	3994.1	0.473251	0.340426	126.79	3
86	2	0.964286	3320.84	3185.3	3395.25	0.358025	0.320346	136.73	3
87	1	0.936508	3579.4	3443.58	3902.99	0.70339	0.353211	132.98	3
88	2	1	3997.94	4859.4	3406.06	0.40873	0.429719	135.06	3
89	1	0.994048	2383.33	2409.78	2257.12	0.826347	0.338415	194.69	4
90	2	0.97619	5706.62	5765.33	5647.91	0.5	0.435146	133.9	3
91	1	0.948413	3218.92	3116.43	3346.05	0.548117	0.434978	128.65	3
92	2	0.97619	4879.73	4574.47	5365.52	0.609756	0.392405	130.31	3
93	1	0.968254	3863.89	4376.97	3359.29	0.487705	0.459227	133.06	3
94	2	0.980159	4153.38	4158	4150.15	0.421053	0.472803	135.79	3
95	1	0.97619	4162.54	4210.44	4130.38	0.402439	0.379747	131.8	3
96	2	0.992063	4279.13	4356.41	4186.53	0.54	0.281633	135.91	3
97	1	0.988095	2890.09	2914.39	2869.86	0.451807	0.452308	177.6	4
98	2	0.972222	3383.93	3235.35	3656.64	0.644898	0.374468	132.8	3
99	1	0.991071	2400.97	2369.52	2443.95	0.576577	0.357798	188.71	4
100	2	0.996032	3810.87	3959.7	3676.81	0.478088	0.408907	136.34	3
