participant_id,best_initial_guess,best_parameters,best_nll,AIC,BIC
52,"[3.110624638497326, 0.6934446681065223, 0.2885819235313281, 0.3098340054569408]",[5.82260171e-01 2.66380356e-01 8.92090391e-02 1.00000000e-04],189.45199559020642,386.90399118041285,401.79833158822237
53,"[1.0776196836379062, 0.3912247807627436, 0.15148981963515634, 4.747863772529402]",[1.00613562e-04 6.71646202e-01 3.62821746e-01 4.39929920e+00],167.2983423727708,342.5966847455416,356.61801088927103
54,"[0.05747855767215069, 0.8358931245936135, 0.7171310284333418, 1.9306982945837765]",[0.06268147 0.79163806 0.01484981 2.66901891],157.90070113663813,323.80140227327627,337.58835175994153
55,"[0.36009674867101255, 0.9362516912493006, 0.27980826082393945, 4.047769437811595]",[1.00000000e-04 9.54516852e-01 1.00000000e-04 4.39944416e+00],167.5970316262512,343.1940632525024,357.1498141571292
56,"[3.0409346693611186, 0.9596816974872348, 0.9243265578965774, 3.87346051541534]",[1.00000000e-04 8.38442343e-01 1.00000000e-04 4.53433534e+00],169.82260697112966,347.6452139422593,361.66654008598874
57,"[2.1632825321393283, 0.8405702911075147, 0.5092713932565591, 4.719374613385092]",[0.0001 0.0001 0.0001 0.0001],169.82107336763508,347.64214673527016,361.6471795774491
58,"[0.45251495925584784, 0.24143407607265924, 0.8064802707838532, 3.4918608707941465]",[1.00000000e-04 7.57100537e-01 6.58543089e-01 4.99990000e+00],162.77191005697057,333.54382011394114,347.39914733404356
59,"[2.34181075208638, 0.29526371089186804, 0.23997019261604438, 4.838020983465274]",[1.00000000e-04 5.77176296e-04 3.49072466e-01 4.99990000e+00],77.16421893334457,162.32843786668914,176.398249452548
60,"[4.791073518399134, 0.48204627158896984, 0.7207206480723674, 3.8566033956823116]",[1.00000000e-04 8.10045437e-01 2.15780563e-03 7.42984446e-01],167.73074831423796,343.4614966284759,357.4172475331027
61,"[1.1779845049155304, 0.29884104848933574, 0.8367391756436104, 3.9174947092092145]",[0.56176045 0.13059989 0.9999     3.85450937],206.71464695352174,421.4292939070435,436.62566452488556
62,"[2.212628171887925, 0.49185573429241997, 0.3842035796423105, 2.770826713397479]",[1.00000000e-04 1.93081215e-02 1.00000000e-04 2.08327097e+00],103.2658958863301,214.5317917726602,227.86266694572168
63,"[2.2735875266224337, 0.32528753797626353, 0.9640587406738693, 1.4905518710395154]",[0.301037   0.37082137 0.04337659 2.27572663],158.52571637400183,325.05143274800366,339.02367852136587
64,"[0.34990920526625796, 0.8408605075393394, 0.9985974287121203, 4.202234551798504]",[1.00000000e-04 5.34671221e-01 2.65785425e-01 4.20298396e+00],163.27309054594906,334.5461810918981,348.53485399307095
65,"[2.751688862719576, 0.06735841123719734, 0.29355686344010734, 3.3424776455924294]",[1.00000000e-04 2.97034880e-02 1.00000000e-04 1.18600276e+00],156.44589594656733,320.89179189313467,334.9293452396466
66,"[0.07262031318424177, 0.4968303874720657, 0.9719372122009587, 3.1066124233364096]",[0.06731553 0.47318195 0.93085543 3.10557144],227.8676690976607,463.7353381953214,478.9195691983829
67,"[2.9983325904492864, 0.5985532083414157, 0.9314226928595464, 3.983347684688599]",[0.39223689 0.62101274 0.00642489 3.95194219],158.9384981809259,325.8769963618518,339.89832250558123
68,"[1.4948929841422938, 0.2473532492805999, 0.17521335268524157, 0.853231756560067]",[2.62496286e-01 3.82589292e-01 1.00000000e-04 1.00000000e-04],166.48499390184708,340.96998780369415,354.958660704867
69,"[2.740105079382854, 0.9328328960082619, 0.7419768544027745, 3.4000496209290496]",[1.00000000e-04 4.03774351e-01 6.40489448e-01 3.40351505e+00],170.4347169926639,348.8694339853278,362.9552776567768
