LEDISAS2	Code = 28	
SubNo	Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RewardOutcome(0=inaccurate;1=lowReward;2=highReward)	VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
28	4	38	2	2	6	13	10	2	3	3	2	1	2	2	3.880000e+00	3.617600e+02	2829	0	1
28	4	39	2	1	1	18	44	3	2	2	2	1	1	1	2.110000e+00	3.638700e+02	1449	1	1
28	4	40	2	1	2	54	45	5	2	2	2	1	1	1	2.020000e+00	3.658900e+02	1508	1	1
28	4	41	2	1	3	2	10	2	4	4	2	1	1	1	2.080000e+00	3.679700e+02	3694	1	1
28	4	42	2	1	4	4	2	3	5	5	2	1	1	1	1.860000e+00	3.698300e+02	1487	1	1
28	4	43	2	2	1	14	38	3	4	4	2	1	2	2	3.780000e+00	3.736100e+02	1177	0	1
28	4	44	2	2	2	18	32	2	5	5	2	1	2	2	3.880000e+00	3.774900e+02	1104	0	1
28	4	45	2	2	3	14	12	2	4	4	2	1	2	2	3.430000e+00	3.809200e+02	3193	0	1
28	4	46	2	2	4	21	25	3	2	2	2	1	2	2	3.380000e+00	3.843000e+02	2495	0	1
28	4	47	2	2	5	54	26	3	4	4	2	1	2	2	4.440000e+00	3.887400e+02	3745	0	1
28	4	48	2	1	1	37	4	4	2	2	2	1	1	1	2	3.907400e+02	1984	1	1
28	4	49	2	1	2	9	17	4	5	5	2	1	1	1	1.920000e+00	3.926600e+02	1534	1	1
28	4	50	2	1	3	17	39	2	4	4	2	1	1	1	2.090000e+00	3.947500e+02	1022	1	1
28	4	51	2	1	4	48	44	2	3	3	2	1	1	1	2.030000e+00	3.967800e+02	3611	1	1
28	4	52	2	1	5	46	49	2	3	3	2	1	1	1	1.880000e+00	3.986600e+02	1304	1	1
28	4	53	2	1	6	3	49	4	3	3	2	1	1	1	2.160000e+00	4.008200e+02	1210	1	1
28	4	54	2	2	1	38	15	3	2	2	2	1	2	2	4.140000e+00	4.049600e+02	1319	0	1
28	4	55	2	2	2	5	10	2	4	4	2	1	2	2	4.700000e+00	4.096600e+02	1880	0	1
28	4	56	2	2	3	12	2	3	5	5	2	1	2	2	4.540000e+00	4.142000e+02	1018	0	1
28	4	57	2	1	1	28	21	5	2	2	2	1	1	1	1.920000e+00	4.161200e+02	2150	1	1
28	4	58	2	2	1	28	30	5	2	2	2	1	2	2	3.390000e+00	4.195100e+02	966	0	1
28	4	59	2	2	2	6	18	5	3	3	2	1	2	2	3.970000e+00	4.234800e+02	2589	0	1
28	4	60	2	2	3	24	33	4	5	5	2	1	2	2	3.840000e+00	4.273200e+02	1483	0	1
28	4	61	2	2	4	17	33	3	2	2	2	1	2	2	3.600000e+00	4.309200e+02	3364	0	1
28	4	62	2	1	1	42	27	5	2	2	2	1	1	1	2.060000e+00	4.329800e+02	2003	1	1
28	4	63	2	1	2	4	6	2	5	5	2	1	1	1	2.180000e+00	4.351600e+02	1504	1	1
28	4	64	2	2	1	27	33	5	4	4	2	1	2	2	3.740000e+00	4.389000e+02	4529	0	1
28	4	65	2	2	2	50	26	2	5	5	2	1	2	2	3.600000e+00	4.425000e+02	2593	0	1
28	4	66	2	2	3	21	46	4	3	3	2	1	2	2	3.880000e+00	4.463800e+02	7511	0	1
28	4	67	2	2	4	18	20	5	3	3	2	1	2	2	4.310000e+00	4.506900e+02	1528	0	1
28	4	68	2	2	5	54	44	2	3	3	2	1	2	2	3.600000e+00	4.542900e+02	3768	0	1
28	4	69	2	2	6	13	47	4	3	3	2	1	2	2	3.430000e+00	4.577200e+02	2975	0	1
28	4	70	2	1	1	29	10	4	2	2	2	1	1	1	1.990000e+00	4.597100e+02	2637	1	1
28	4	71	2	1	2	32	16	5	3	3	2	1	1	1	1.990000e+00	4.617000e+02	809	1	1
28	4	72	2	1	3	22	42	2	3	3	2	1	1	1	2.060000e+00	4.637600e+02	2950	1	1
28	4	73	2	2	1	42	16	2	5	5	2	1	2	2	3.720000e+00	4.674800e+02	973	0	1
28	4	74	2	1	1	45	32	4	2	2	2	1	1	1	1.980000e+00	4.694600e+02	1692	1	1
28	4	75	2	1	2	41	48	2	5	5	2	1	1	1	1.950000e+00	4.714100e+02	1855	1	1
28	4	76	2	1	3	30	4	5	4	4	2	1	1	1	1.990000e+00	4.734000e+02	1810	1	1
